pos,word,article,gender,gender_tip,plural,meaning,ex1_de,ex1_en,ex2_de,ex2_en,ex3_de,ex3_en,ex4_de,ex4_en,ex5_de,ex5_en
noun,Pause,die,f,Nouns ending in -e are often feminine.,Pausen,break,Wir haben eine Pause.,We have a break.,,,,,,,,
noun,Garderobe,die,f,Many nouns ending in -e are feminine.,Garderoben,cloakroom,Die Garderobe ist links.,The cloakroom is on the left.,,,,,,,,
noun,Applaus,der,m,Der Applaus is masculine.,,applause,Der Applaus ist laut.,The applause is loud.,,,,,,,,
noun,Orchester,das,n,Many ensemble nouns are neuter.,Orchester,orchestra,Das Orchester spielt.,The orchestra plays.,,,,,,,,
noun,Dirigent,der,m,Person noun is masculine.,Dirigenten,conductor,Der Dirigent steht vorne.,The conductor stands in front.,,,,,,,,
noun,Sänger,der,m,Agent noun is masculine.,Sänger,singer,Der Sänger singt gut.,The singer sings well.,,,,,,,,
noun,Schauspieler,der,m,Agent noun is masculine.,Schauspieler,actor,Der Schauspieler ist berühmt.,The actor is famous.,,,,,,,,
noun,Fan,der,m,Common loanword is masculine.,Fans,fan,Der Fan freut sich.,The fan is happy.,,,,,,,,
noun,Trikot,das,n,Many loanwords are neuter.,Trikots,jersey,Das Trikot ist blau.,The jersey is blue.,,,,,,,,
noun,Tor,das,n,Many sports nouns are neuter.,Tore,goal,Das Tor ist super.,The goal is great.,,,,,,,,
noun,Halbzeit,die,f,Time nouns like Zeit are feminine.,Halbzeiten,halftime,Die Halbzeit ist jetzt.,It is halftime now.,,,,,,,,
noun,Sieger,der,m,Agent noun is masculine.,Sieger,winner,Der Sieger bekommt den Pokal.,The winner gets the trophy.,,,,,,,,
noun,Verlierer,der,m,Agent noun is masculine.,Verlierer,loser,Der Verlierer ist traurig.,The loser is sad.,,,,,,,,
verb,klatschen,,,,,to clap,Wir klatschen viel.,We clap a lot.,,,,,,,,
verb,zuschauen,,,,,to watch,Wir schauen dem Spiel zu.,We watch the match.,,,,,,,,
verb,mitmachen,,,,,to join in,Ich mache gern mit.,I like to join in.,,,,,,,,
verb,gewinnen,,,,,to win,Wir gewinnen heute.,We win today.,,,,,,,,
verb,verlieren,,,,,to lose,Sie verlieren das Spiel.,They lose the match.,,,,,,,,
verb,tanzen,,,,,to dance,Wir tanzen auf dem Fest.,We dance at the festival.,,,,,,,,
noun,Universität,die,f,Words ending -tät are usually feminine.,Universitäten,university,Die Universität ist groß.,The university is big.,Ich bin an der Universität.,I am at the university.,,,,,,
noun,Hochschule,die,f,Nouns ending -schule are usually feminine.,Hochschulen,college or university,Die Hochschule ist neu.,The college is new.,Er studiert an der Hochschule.,He studies at the college.,,,,,,
noun,Campus,der,m,Loan words are often masculine.,Campusse,campus,Der Campus ist groß.,The campus is big.,Wir treffen uns auf dem Campus.,We meet on campus.,,,,,,
noun,Hörsaal,der,m,Saal is masculine.,Hörsäle,lecture hall,Der Hörsaal ist voll.,The lecture hall is full.,Ich sitze im Hörsaal.,I sit in the lecture hall.,,,,,,
noun,Seminarraum,der,m,Raum is masculine.,Seminarräume,seminar room,Der Seminarraum ist oben.,The seminar room is upstairs.,Wir sind im Seminarraum.,We are in the seminar room.,,,,,,
noun,Gebäude,das,n,Nouns ending -äude are neuter.,Gebäude,building,Das Gebäude ist alt.,The building is old.,Das Gebäude hat drei Stockwerke.,The building has three floors.,,,,,,
noun,Stockwerk,das,n,Many -werk words are neuter.,Stockwerke,floor storey,Das Stockwerk ist oben.,The floor is upstairs.,Die Bibliothek ist im zweiten Stockwerk.,The library is on the second floor.,,,,,,
noun,Raum,der,m,Most rooms are masculine.,Räume,room,Der Raum ist klein.,The room is small.,Welcher Raum ist das?,Which room is that?,,,,,,
noun,Mensa,die,f,Many nouns ending -a are feminine.,Mensen,cafeteria canteen,Die Mensa ist heute offen.,The cafeteria is open today.,Heute esse ich in der Mensa.,Today I eat in the cafeteria.,,,,,,
noun,Bibliothek,die,f,Many nouns ending -ek are feminine.,Bibliotheken,library,Die Bibliothek ist ruhig.,The library is quiet.,Ich lese in der Bibliothek.,I read in the library.,,,,,,
noun,Student,der,m,Male person word usually der.,Studenten,student,Der Student lernt Deutsch.,The student learns German.,Der Student geht in die Bibliothek.,The student goes to the library.,,,,,,
noun,Studentin,die,f,Female person word usually die.,Studentinnen,student female,Die Studentin fragt den Lehrer.,The student asks the teacher.,Die Studentin schreibt eine E-Mail.,The student writes an email.,,,,,,
noun,Studium,das,n,Nouns ending -um are often neuter.,Studien,studies degree,Mein Studium ist interessant.,My studies are interesting.,Das Studium beginnt im Oktober.,The program starts in October.,,,,,,
noun,Kurs,der,m,Many short one-syllable nouns are masculine.,Kurse,course,Der Kurs ist am Montag.,The course is on Monday.,Ich habe heute einen Kurs.,I have a course today.,,,,,,
noun,Deutschkurs,der,m,Compound with Kurs keeps der.,Deutschkurse,German course,Der Deutschkurs ist um neun Uhr.,The German course is at nine.,Ich gehe zum Deutschkurs.,I go to the German course.,,,,,,
noun,Kursbuch,das,n,Buch is neuter so compounds often das.,Kursbücher,coursebook,Das Kursbuch ist neu.,The coursebook is new.,Ich brauche das Kursbuch.,I need the coursebook.,,,,,,
noun,Kursraum,der,m,Raum is masculine.,Kursräume,course room,Der Kursraum ist dort.,The course room is there.,Wir treffen uns im Kursraum.,We meet in the course room.,,,,,,
noun,Vorlesung,die,f,Nouns ending -ung are feminine.,Vorlesungen,lecture,Die Vorlesung beginnt um acht.,The lecture starts at eight.,Ich bin in der Vorlesung.,I am in the lecture.,,,,,,
noun,Seminar,das,n,Many loan words are neuter.,Seminare,seminar,Das Seminar ist heute.,The seminar is today.,Ich gehe ins Seminar.,I go to the seminar.,,,,,,
noun,Prüfung,die,f,Nouns ending -ung are feminine.,Prüfungen,exam,Die Prüfung ist morgen.,The exam is tomorrow.,Ich lerne für die Prüfung.,I study for the exam.,,,,,,
noun,Aufgabe,die,f,Nouns ending -e are often feminine.,Aufgaben,task exercise,Die Aufgabe ist schwer.,The task is hard.,Ich mache die Aufgabe.,I do the task.,,,,,,
noun,Übung,die,f,Nouns ending -ung are feminine.,Übungen,exercise practice,Die Übung ist leicht.,The exercise is easy.,Wir machen eine Übung.,We do an exercise.,,,,,,
noun,Hausaufgabe,die,f,Compound with Aufgabe keeps die.,Hausaufgaben,homework,Ich mache Hausaufgaben.,I do homework.,Die Hausaufgabe ist für morgen.,The homework is for tomorrow.,,,,,,
noun,Note,die,f,Note is feminine.,Noten,grade,Meine Note ist gut.,My grade is good.,Er bekommt eine Note.,He gets a grade.,,,,,,
noun,Stundenplan,der,m,Plan is masculine.,Stundenpläne,timetable,Der Stundenplan ist hier.,The timetable is here.,Ich sehe meinen Stundenplan.,I look at my timetable.,,,,,,
noun,Pause,die,f,Nouns ending -e are often feminine.,Pausen,break,Die Pause ist um zehn.,The break is at ten.,In der Pause trinke ich Wasser.,In the break I drink water.,,,,,,
noun,Lehrerin,die,f,Female person word usually die.,Lehrerinnen,teacher female,Die Lehrerin erklärt die Aufgabe.,The teacher explains the task.,Die Lehrerin hilft mir.,The teacher helps me.,,,,,,
noun,Dozent,der,m,Person word usually der.,Dozenten,lecturer,Der Dozent kommt später.,The lecturer comes later.,Ich frage den Dozenten.,I ask the lecturer.,,,,,,
noun,Gruppe,die,f,Nouns ending -e are often feminine.,Gruppen,group,Die Gruppe ist groß.,The group is big.,Wir arbeiten in einer Gruppe.,We work in a group.,,,,,,
noun,Partnerarbeit,die,f,Ends in -arbeit and is feminine.,Partnerarbeiten,pair work,Die Partnerarbeit ist heute.,Pair work is today.,Wir machen Partnerarbeit.,We do pair work.,,,,,,
noun,Frage,die,f,Nouns ending -e are often feminine.,Fragen,question,Ich habe eine Frage.,I have a question.,Die Frage ist einfach.,The question is simple.,,,,,,
noun,Antwort,die,f,Antwort is feminine.,Antworten,answer,Die Antwort ist richtig.,The answer is correct.,Ich schreibe eine Antwort.,I write an answer.,,,,,,
noun,Anmeldung,die,f,Nouns ending -ung are feminine.,Anmeldungen,registration,Die Anmeldung ist heute.,Registration is today.,Ich mache die Anmeldung online.,I register online.,,,,,,
noun,Formular,das,n,Many nouns ending -ar are neuter.,Formulare,form,Das Formular ist lang.,The form is long.,Ich fülle das Formular aus.,I fill out the form.,,,,,,
noun,Unterschrift,die,f,Nouns ending -schrift are feminine.,Unterschriften,signature,Die Unterschrift ist hier.,The signature is here.,Bitte schreiben Sie Ihre Unterschrift.,Please write your signature.,,,,,,
noun,Ausweis,der,m,Many -weis words are masculine.,Ausweise,ID card,Der Ausweis ist wichtig.,The ID is important.,Ich habe meinen Ausweis dabei.,I have my ID with me.,,,,,,
noun,Studentenausweis,der,m,Compound with Ausweis keeps der.,Studentenausweise,student ID,Der Studentenausweis ist neu.,The student ID is new.,Ich zeige meinen Studentenausweis.,I show my student ID.,,,,,,
noun,Bibliotheksausweis,der,m,Compound with Ausweis keeps der.,Bibliotheksausweise,library card,Der Bibliotheksausweis ist in meiner Tasche.,The library card is in my bag.,Ich brauche einen Bibliotheksausweis.,I need a library card.,,,,,,
noun,Wörterbuch,das,n,Buch is neuter so compounds often das.,Wörterbücher,dictionary,Das Wörterbuch ist hilfreich.,The dictionary is helpful.,Ich benutze ein Wörterbuch.,I use a dictionary.,,,,,,
noun,Computer,der,m,Loan word often masculine.,Computer,computer,Der Computer ist frei.,The computer is free.,Ich arbeite am Computer.,I work on the computer.,,,,,,
noun,Datei,die,f,Many nouns ending -i are feminine.,Dateien,file,Die Datei ist groß.,The file is big.,Ich sende die Datei per E-Mail.,I send the file by email.,,,,,,
noun,Ordner,der,m,Many -er nouns are masculine.,Ordner,folder,bDer Ordner ist neu.,The folder is new.,Ich lege das Papier in den Ordner.,I put the paper in the folder.,,,,,,
noun,Drucker,der,m,Many device words are masculine.,Drucker,printer,Der Drucker ist kaputt.,The printer is broken.,Der Drucker steht im Büro.,The printer is in the office.,,,,,,
noun,Kopierer,der,m,Many device words are masculine.,Kopierer,copy machine,Der Kopierer ist alt.,The copier is old.,Ich benutze den Kopierer.,I use the copier.,,,,,,
noun,Notizbuch,das,n,Buch is neuter so compounds often das.,Notizbücher,notebook,Das Notizbuch ist voll.,The notebook is full.,Ich schreibe ins Notizbuch.,I write in the notebook.,,,,,,
noun,Lineal,das,n,Many tools are neuter.,Lineale,ruler,Das Lineal ist lang.,The ruler is long.,Ich brauche ein Lineal.,I need a ruler.,,,,,,
noun,Radiergummi,der,m,Many objects are masculine.,Radiergummis,eraser,Der Radiergummi ist klein.,The eraser is small.,Ich brauche einen Radiergummi.,I need an eraser.,,,,,,
noun,Rucksack,der,m,Many objects are masculine.,Rucksäcke,backpack,Der Rucksack ist schwer.,The backpack is heavy.,Mein Rucksack ist blau.,My backpack is blue.,,,,,,
verb,ausfüllen,,,Separable verb: aus goes to the end,,to fill out,Ich fülle das Formular aus.,I fill out the form.,Füllst du das Formular aus?,Do you fill out the form?,,,,,,
verb,ausleihen,,,Separable verb: aus goes to the end,,to borrow,Ich leihe ein Buch aus.,I borrow a book.,Leihst du das Wörterbuch aus?,Do you borrow the dictionary?,,,,,,
noun,Januar,der,m,"Months are masculine in German",,January,Der Januar ist kalt.,January is cold.,,,,,,,,
noun,Februar,der,m,"Months are masculine in German",,February,Der Februar hat 28 Tage.,February has 28 days.,,,,,,,,
noun,März,der,m,"Months are masculine in German",,March,Im März beginnt der Frühling.,In March spring begins.,,,,,,,,
noun,April,der,m,"Months are masculine in German",,April,Der April ist oft regnerisch.,April is often rainy.,,,,,,,,
noun,Mai,der,m,"Months are masculine in German",,May,Im Mai blühen die Blumen.,In May the flowers bloom.,,,,,,,,
noun,Juni,der,m,"Months are masculine in German",,June,Der Juni ist warm.,June is warm.,,,,,,,,
noun,Juli,der,m,"Months are masculine in German",,July,Im Juli haben wir Sommerferien.,In July we have summer vacation.,,,,,,,,
noun,August,der,m,"Months are masculine in German",,August,Der August ist heiß.,August is hot.,,,,,,,,
noun,September,der,m,"Months are masculine in German",,September,Im September beginnt die Schule.,In September school begins.,,,,,,,,
noun,Oktober,der,m,"Months are masculine in German",,October,Der Oktober ist bunt.,October is colorful.,,,,,,,,
noun,November,der,m,"Months are masculine in German",,November,Der November ist grau.,November is gray.,,,,,,,,
noun,Dezember,der,m,"Months are masculine in German",,December,Im Dezember feiern wir Weihnachten.,In December we celebrate Christmas.,,,,,,,,
noun,Montag,der,m,"Days are masculine in German",Montage,Monday,Am Montag gehe ich zur Schule.,On Monday I go to school.,,,,,,,,
noun,Dienstag,der,m,"Days are masculine in German",Dienstage,Tuesday,Der Dienstag ist anstrengend.,Tuesday is exhausting.,,,,,,,,
noun,Mittwoch,der,m,"Days are masculine in German",Mittwoche,Wednesday,Am Mittwoch habe ich Zeit.,On Wednesday I have time.,,,,,,,,
noun,Donnerstag,der,m,"Days are masculine in German",Donnerstage,Thursday,Donnerstags arbeite ich.,On Thursdays I work.,,,,,,,,
noun,Freitag,der,m,"Days are masculine in German",Freitage,Friday,Endlich ist Freitag!,Finally it's Friday!,,,,,,,,
noun,Samstag,der,m,"Days are masculine in German",Samstage,Saturday,Am Samstag schlafe ich lange.,On Saturday I sleep late.,,,,,,,,
noun,Sonntag,der,m,"Days are masculine in German",Sonntage,Sunday,Der Sonntag ist ruhig.,Sunday is quiet.,,,,,,,,
noun,Schuh,der,m,"Many clothing items are masculine",Schuhe,shoe,Meine Schuhe sind neu.,My shoes are new.,,,,,,,,
noun,Hemd,das,n,"Clothing items ending in -d are often neuter",Hemden,shirt,Das Hemd ist blau.,The shirt is blue.,,,,,,,,
noun,Kleid,das,n,"Clothing items are often neuter",Kleider,dress,Das Kleid ist schön.,The dress is beautiful.,,,,,,,,
noun,Rock,der,m,"Many clothing items are masculine",Röcke,skirt,Der Rock ist kurz.,The skirt is short.,,,,,,,,
noun,Hose,die,f,"Many clothing items ending -e are feminine",Hosen,pants/trousers,Die Hose ist schwarz.,The pants are black.,,,,,,,,
noun,Jacke,die,f,"Nouns ending in -e are often feminine",Jacken,jacket,Die Jacke ist warm.,The jacket is warm.,,,,,,,,
noun,Mütze,die,f,"Nouns ending in -e are often feminine",Mützen,hat/cap,Die Mütze ist rot.,The cap is red.,,,,,,,,
noun,Socke,die,f,"Nouns ending in -e are often feminine",Socken,sock,Die Socken sind weich.,The socks are soft.,,,,,,,,
noun,Farbe,die,f,"Nouns ending in -e are often feminine",Farben,color,Meine Lieblingsfarbe ist Blau.,My favorite color is blue.,,,,,,,,
adj,rot,,,,,red,Der Apfel ist rot.,The apple is red.,,,,,,,,
adj,blau,,,,,blue,Das Meer ist blau.,The sea is blue.,,,,,,,,
adj,grün,,,,,green,Das Gras ist grün.,The grass is green.,,,,,,,,
adj,gelb,,,,,yellow,Die Banane ist gelb.,The banana is yellow.,,,,,,,,
adj,orange,,,,,orange,Die Orange ist orange.,The orange is orange.,,,,,,,,
adj,lila,,,,,purple,Die Blume ist lila.,The flower is purple.,,,,,,,,
adj,braun,,,,,brown,Der Tisch ist braun.,The table is brown.,,,,,,,,
adj,schwarz,,,,,black,Die Katze ist schwarz.,The cat is black.,,,,,,,,
adj,weiß,,,,,white,Der Schnee ist weiß.,The snow is white.,,,,,,,,
adj,grau,,,,,gray,Der Himmel ist grau.,The sky is gray.,,,,,,,,
adj,neu,,,,,new,Das Auto ist neu.,The car is new.,,,,,,,,
adj,alt,,,,,old,Mein Opa ist alt.,My grandpa is old.,,,,,,,,
adj,jung,,,,,young,Der Hund ist jung.,The dog is young.,,,,,,,,
noun,Oma,die,f,"Family nickname is feminine",Omas,grandma,Meine Oma kocht gut.,My grandma cooks well.,,,,,,,,
noun,Opa,der,m,"Family nickname is masculine",Opas,grandpa,Mein Opa liest gern.,My grandpa likes to read.,,,,,,,,
noun,Tante,die,f,"Family noun ending -e is feminine",Tanten,aunt,Meine Tante wohnt in Berlin.,My aunt lives in Berlin.,,,,,,,,
noun,Onkel,der,m,"Family noun ending -el is masculine",Onkel,uncle,Mein Onkel hat ein Auto.,My uncle has a car.,,,,,,,,
noun,Cousin,der,m,"Family loanword is masculine",Cousins,cousin (male),Mein Cousin ist 15 Jahre alt.,My cousin is 15 years old.,,,,,,,,
noun,Cousine,die,f,"Family loanword ending -e is feminine",Cousinen,cousin (female),Meine Cousine ist nett.,My cousin is nice.,,,,,,,,
verb,schlafen,,,,,to sleep,Das Baby schläft.,The baby sleeps.,Ich schlafe acht Stunden.,I sleep eight hours.,,,,,,
verb,öffnen,,,,,to open,Bitte öffnen Sie das Fenster.,Please open the window.,Ich öffne die Tür.,I open the door.,,,,,,
verb,schließen,,,,,to close,Schließ bitte die Tür.,Please close the door.,Das Geschäft schließt um 20 Uhr.,The store closes at 8 p.m.,,,,,,
verb,verstehen,,,,,to understand,Ich verstehe dich nicht.,I don't understand you.,Verstehen Sie die Frage?,Do you understand the question?,,,,,,
verb,geben,,,,,to give,Kannst du mir das geben?,Can you give me that?,Es gibt viele Menschen hier.,There are many people here.,,,,,,
verb,nehmen,,,,,to take,Ich nehme den Bus.,I take the bus.,Nehmen Sie noch etwas Kaffee?,Will you have some more coffee?,,,,,,
preposition,in,,,,,in,Das Buch ist in der Tasche.,The book is in the bag.,Ich wohne in Berlin.,I live in Berlin.,,,,,,
preposition,an,,,,,at/on,Das Bild hängt an der Wand.,The picture hangs on the wall.,Wir treffen uns am Bahnhof.,We meet at the station.,,,,,,
preposition,auf,,,,,on,Das Buch liegt auf dem Tisch.,The book is on the table.,Ich warte auf den Bus.,I wait for the bus.,,,,,,
preposition,aus,,,,,from/out of,Ich komme aus Spanien.,I come from Spain.,Sie nimmt das Geld aus der Tasche.,She takes the money out of the bag.,,,,,,
preposition,nach,,,,,to/after,Wir fahren nach Berlin.,We drive to Berlin.,Nach der Schule gehe ich nach Hause.,After school I go home.,,,,,,
preposition,zu,,,,,to,Ich gehe zu meiner Freundin.,I go to my friend's place.,Zu Hause ist es gemütlich.,At home it's cozy.,,,,,,
pronoun,ich,,,,,I,Ich bin müde.,I am tired.,,,,,,,,
pronoun,du,,,,,you (informal),Du bist mein Freund.,You are my friend.,,,,,,,,
pronoun,er,,,,,he,Er ist Lehrer.,He is a teacher.,,,,,,,,
pronoun,sie,,,,,she,Sie ist Ärztin.,She is a doctor.,,,,,,,,
pronoun,es,,,,,it,Es ist kalt.,It is cold.,,,,,,,,
pronoun,wir,,,,,we,Wir lernen Deutsch.,We learn German.,,,,,,,,
pronoun,ihr,,,,,you (plural informal),Ihr seid meine Freunde.,You are my friends.,,,,,,,,
pronoun,Sie,,,,,you (formal),Wie heißen Sie?,What is your name? (formal),,,,,,,,
pronoun,sie (Plural),,,,,,they,Sie kommen aus Berlin.,They come from Berlin.,,,,,,,,
questionword,wer,,,,,who,Wer ist das?,Who is that?,,,,,,,,
questionword,was,,,,,what,Was ist das?,What is that?,,,,,,,,
questionword,wie,,,,,how,Wie geht es dir?,How are you?,,,,,,,,
questionword,wo,,,,,where,Wo ist der Bahnhof?,Where is the station?,,,,,,,,
questionword,woher,,,,,where from,Woher kommst du?,Where do you come from?,,,,,,,,
questionword,wohin,,,,,where to,Wohin gehst du?,Where are you going?,,,,,,,,
questionword,warum,,,,,why,Warum lernst du Deutsch?,Why are you learning German?,,,,,,,,
noun,Spiegel,der,m,"Many objects ending -el are masculine",Spiegel,mirror,Der Spiegel ist groß.,The mirror is big.,Ich sehe mich im Spiegel.,I see myself in the mirror.,,,,,,
noun,Bürste,die,f,"Nouns ending -e are often feminine",Bürsten,brush,Die Bürste ist neu.,The brush is new.,Ich brauche eine Haarbürste.,I need a hairbrush.,,,,,,
noun,Kamm,der,m,"Many short nouns are masculine",Kämme,comb,Der Kamm ist klein.,The comb is small.,,,,,,,,
noun,Seife,die,f,"Nouns ending -e are often feminine",Seifen,soap,Die Seife riecht gut.,The soap smells good.,,,,,,,,
noun,Shampoo,das,n,"Loanwords are often neuter",Shampoos,shampoo,Das Shampoo ist leer.,The shampoo is empty.,,,,,,,,
noun,Zahnbürste,die,f,"Compound with Bürste is feminine",Zahnbürsten,toothbrush,Meine Zahnbürste ist blau.,My toothbrush is blue.,,,,,,,,
noun,Zahnpasta,die,f,"Many nouns ending -a are feminine",Zahnpasten,toothpaste,Die Zahnpasta ist fast leer.,The toothpaste is almost empty.,,,,,,,,
noun,Brief,der,m,"Many nouns are masculine",Briefe,letter,Der Brief ist von meiner Mutter.,The letter is from my mother.,Ich schreibe einen Brief.,I write a letter.,,,,,,
noun,Paket,das,n,"Many nouns ending -et are neuter",Pakete,package,Das Paket ist groß.,The package is big.,Der Postbote bringt ein Paket.,The mailman brings a package.,,,,,,
noun,Briefmarke,die,f,"Nouns ending -e are often feminine",Briefmarken,postage stamp,Ich brauche eine Briefmarke.,I need a postage stamp.,Die Briefmarke kostet 1 Euro.,The stamp costs 1 euro.,,,,,,
noun,Luft,die,f,"Many natural elements are feminine",,air,Die Luft ist frisch.,The air is fresh.,,,,,,,,
noun,Wind,der,m,"Many weather nouns are masculine",Winde,wind,Der Wind ist stark.,The wind is strong.,,,,,,,,
noun,Wolke,die,f,"Nouns ending -e are often feminine",Wolken,cloud,Die Wolken sind grau.,The clouds are gray.,,,,,,,,
noun,Schnee,der,m,"Many weather nouns are masculine",,snow,Der Schnee ist weiß.,The snow is white.,,,,,,,,
noun,Eis,das,n,"Many weather/food nouns are neuter",,ice/ice cream,Das Eis schmilzt.,The ice is melting.,Ich esse gern Eis.,I like eating ice cream.,,,,,,
noun,Feld,das,n,"Many landscape nouns are neuter",Felder,field,Das Feld ist grün.,The field is green.,,,,,,,,
noun,Wald,der,m,"Many landscape nouns are masculine",Wälder,forest,Der Wald ist groß.,The forest is big.,,,,,,,,
noun,Berg,der,m,"Many landscape nouns are masculine",Berge,mountain,Der Berg ist hoch.,The mountain is high.,,,,,,,,
noun,Meer,das,n,"Many water bodies are neuter",Meere,sea,Das Meer ist blau.,The sea is blue.,,,,,,,,
noun,See,der,m,"Masculine = lake, feminine = sea",Seen,lake,Der See ist kalt.,The lake is cold.,,,,,,,,
noun,Brücke,die,f,"Nouns ending -e are often feminine",Brücken,bridge,Die Brücke ist alt.,The bridge is old.,,,,,,,,
noun,Weg,der,m,"Many short nouns are masculine",Wege,way/path,Der Weg ist lang.,The way is long.,,,,,,,,
noun,Ecke,die,f,"Nouns ending -e are often feminine",Ecken,corner,Die Schule ist um die Ecke.,The school is around the corner.,,,,,,,,
noun,Mitte,die,f,"Nouns ending -e are often feminine",Mitten,middle/center,Die Bank ist in der Mitte.,The bank is in the middle.,,,,,,,,
noun,Stück,das,n,"Many nouns are neuter",Stücke,piece,Ein Stück Kuchen, bitte.,A piece of cake, please.,,,,,,,,
noun,Paar,das,n,"Many nouns are neuter",Paare,pair/couple,Ein Paar Schuhe, bitte.,A pair of shoes, please.,,,,,,,,
noun,Tier,das,n,"Many animals are neuter",Tiere,animal,Das Tier ist süß.,The animal is cute.,,,,,,,,
noun,Vogel,der,m,"Many animals are masculine",Vögel,bird,Der Vogel singt.,The bird sings.,,,,,,,,
noun,Fisch,der,m,"Many animals are masculine",Fische,fish,Der Fisch schwimmt.,The fish swims.,,,,,,,,
noun,Pferd,das,n,"Many animals are neuter",Pferde,horse,Das Pferd ist schnell.,The horse is fast.,,,,,,,,
noun,Zahl,die,f,"Many abstract nouns are feminine",Zahlen,number,Die Zahl ist groß.,The number is big.,,,,,,,,
noun,Buchstabe,der,m,"Ending -e can be masculine here",Buchstaben,letter (alphabet),Der Buchstabe ist A.,The letter is A.,,,,,,,,
noun,Satz,der,m,"Many short nouns are masculine",Sätze,sentence,Der Satz ist lang.,The sentence is long.,,,,,,,,
noun,Wort,das,n,"Many language nouns are neuter",Wörter/ Worte,word,Das Wort ist neu für mich.,The word is new to me.,,,,,,,,
verb,liegen,,,,,to lie (position),Das Buch liegt auf dem Tisch.,The book is lying on the table.,,,,,,,,
verb,stehen,,,,,to stand,Der Stuhl steht in der Ecke.,The chair is standing in the corner.,,,,,,,,
verb,sitzen,,,,,to sit,Wir sitzen im Cafe.,We are sitting in the cafe.,,,,,,,,
verb,stellen,,,,,to put (upright),Ich stelle die Vase auf den Tisch.,I put the vase on the table.,,,,,,,,
verb,legen,,,,,to lay (flat),Ich lege das Buch auf den Tisch.,I lay the book on the table.,,,,,,,,
verb,hängen,,,,,to hang,Das Bild hängt an der Wand.,The picture hangs on the wall.,,,,,,,,
verb,zeigen,,,,,to show,Kannst du mir das zeigen?,Can you show me that?,,,,,,,,
verb,bringen,,,,,to bring,Bringst du mir bitte Wasser?,Will you bring me water please?,,,,,,,,
verb,holen,,,,,to get/fetch,Ich hole das Auto.,I'll get the car.,,,,,,,,
verb,anrufen,,,,,to call (phone),Ich rufe dich morgen an.,I'll call you tomorrow.,,,,,,,,
noun,Büro,das,n,"Many loanwords ending -o are neuter",Büros,office,Das Büro ist groß.,The office is big.,Ich arbeite im Büro.,I work in the office.,,,,,,
noun,Firma,die,f,"Many nouns ending -a are feminine",Firmen,company,Die Firma ist in Berlin.,The company is in Berlin.,Er hat eine Firma.,He has a company.,,,,,,
noun,Chef,der,m,"Person noun masculine",Chefs,boss,Der Chef ist nett.,The boss is nice.,Ich frage den Chef.,I ask the boss.,,,,,,
noun,Chefin,die,f,"Suffix -in marks feminine",Chefinnen,boss (female),Die Chefin kommt heute.,The boss is coming today.,,,,,,,,
noun,Sekretärin,die,f,"Suffix -in marks feminine",Sekretärinnen,secretary (female),Die Sekretärin schreibt eine E-Mail.,The secretary writes an email.,,,,,,,,
noun,Schreibtisch,der,m,"Compound with Tisch is masculine",Schreibtische,desk,Der Schreibtisch ist neu.,The desk is new.,Auf dem Schreibtisch liegt ein Computer.,A computer is on the desk.,,,,,,
noun,Stift,der,m,"Many office items are masculine",Stifte,pen,Der Stift ist blau.,The pen is blue.,Ich brauche einen Stift.,I need a pen.,,,,,,
noun,Bleistift,der,m,"Compound with Stift is masculine",Bleistifte,pencil,Der Bleistift ist spitz.,The pencil is sharp.,,,,,,,,
noun,Kugelschreiber,der,m,"Many -er nouns are masculine",Kugelschreiber,ballpoint pen,Der Kugelschreiber schreibt nicht.,The pen doesn't write.,,,,,,,,
noun,Papier,das,n,"Many materials are neuter",Papiere,paper,Das Papier ist weiß.,The paper is white.,Hast du Papier?,Do you have paper?,,,,,,
noun,Notiz,die,f,"Many abstract nouns ending in -iz are feminine",Notizen,note,Ich mache eine Notiz.,I make a note.,Meine Notizen sind im Heft.,My notes are in the notebook.,,,,,,
noun,Heft,das,n,"Many school items are neuter",Hefte,notebook/exercise book,Das Heft ist voll.,The notebook is full.,Ich schreibe ins Heft.,I write in the notebook.,,,,,,
noun,Regal,das,n,"Many furniture items are neuter",Regale,shelf,Das Regal ist aus Holz.,The shelf is made of wood.,Die Bücher stehen im Regal.,The books are on the shelf.,,,,,,
noun,Couch,die,f,"Many loanwords are feminine",Couchs/Couches,sofa/couch,Die Couch ist bequem.,The sofa is comfortable.,Wir sitzen auf der Couch.,We sit on the sofa.,,,,,,
noun,Sofa,das,n,"Many loanwords are neuter",Sofas,sofa,Das Sofa ist groß.,The sofa is big.,,,,,,,,
noun,Teppich,der,m,"Many household items are masculine",Teppiche,carpet/rug,Der Teppich ist weich.,The carpet is soft.,,,,,,,,
noun,Vorhang,der,m,"Many household items are masculine",Vorhänge,curtain,Der Vorhang ist zu.,The curtain is closed.,,,,,,,,
noun,Spiegel,der,m,"Many objects ending -el are masculine",Spiegel,mirror,Der Spiegel ist groß.,The mirror is big.,Ich sehe mich im Spiegel.,I see myself in the mirror.,,,,,,
noun,Blume,die,f,"Nouns ending -e are often feminine",Blumen,flower,Die Blume ist schön.,The flower is beautiful.,,,,,,,,
noun,Pflanze,die,f,"Nouns ending -e are often feminine",Pflanzen,plant,Die Pflanze braucht Wasser.,The plant needs water.,,,,,,,,
