sentence,words,tip,translation_en
"Ich ziehe meine Schuhe aus.","Ich|ziehe|meine|Schuhe|aus|.","Separable verb ""ausziehen""","I take off my shoes."
"Die Sonne geht im Osten auf.","Die|Sonne|geht|im|Osten|auf|.","Cardinal direction + ""im"" = in+dem","The sun rises in the east."
"Kann ich deinen Stift borgen?","Kann|ich|deinen|Stift|borgen|?","""borgen"" = to borrow + accusative","Can I borrow your pen?"
"Sie backt Kekse für ihre Kinder.","Sie|backt|Kekse|für|ihre|Kinder|.","Cooking verb + plural accusative","She bakes cookies for her children."
"Das Meer ist tief und blau.","Das|Meer|ist|tief|und|blau|.","""tief"" = deep + compound adjective","The sea is deep and blue."
"Wir sammeln Blätter im Herbst.","Wir|sammeln|Blätter|im|Herbst|.","Seasonal activity + ""im""","We collect leaves in autumn."
"Er zeigt mir den Weg.","Er|zeigt|mir|den|Weg|.","""zeigen"" + dative + accusative","He shows me the way."
"Die Tür ist geschlossen.","Die|Tür|ist|geschlossen|.","State adjective (closed)","The door is closed."
"Ich finde meine Brille nicht.","Ich|finde|meine|Brille|nicht|.","""nicht"" negation at end","I can't find my glasses."
"Kinder malen bunte Bilder.","Kinder|malen|bunte|Bilder|.","""malen"" = to paint + plural","Children paint colorful pictures."
"Vor dem Essen waschen wir Hände.","Vor|dem|Essen|waschen|wir|Hände|.","Time expression + plural object","Before eating we wash hands."
"Der Zug fährt ab Gleis 3.","Der|Zug|fährt|ab|Gleis|3|.","""abfahren"" + location","The train departs from platform 3."
"Sie trägt einen Regenschirm bei Regen.","Sie|trägt|einen|Regenschirm|bei|Regen|.","""bei"" = during","She carries an umbrella during rain."
"Wir feiern Geburtstag mit Kuchen.","Wir|feiern|Geburtstag|mit|Kuchen|.","""feiern"" + celebration noun","We celebrate birthday with cake."
"Das Licht in der Lampe ist hell.","Das|Licht|in|der|Lampe|ist|hell|.","Location phrase between subject-adjective","The light in the lamp is bright."
"Ich putze meine Zähne zweimal täglich.","Ich|putze|meine|Zähne|zweimal|täglich|.","Frequency adverb placement","I brush my teeth twice daily."
"Der Schnee ist weich und kalt.","Der|Schnee|ist|weich|und|kalt|.","Compound sensory adjectives","The snow is soft and cold."
"Wir sitzen um den Tisch.","Wir|sitzen|um|den|Tisch|.","""um"" + accusative (circular)","We sit around the table."
"Sie öffnet das Fenster für frische Luft.","Sie|öffnet|das|Fenster|für|frische|Luft|.","""für"" + purpose","She opens the window for fresh air."
"Der Hund bellt den Postboten an.","Der|Hund|bellt|den|Postboten|an|.","Separable verb ""anbellen""","The dog barks at the mail carrier."
"Nachts schlafen die meisten Menschen.","Nachts|schlafen|die|meisten|Menschen|.","Adverb + superlative adjective","At night most people sleep."
"Ich schreibe eine E-Mail an meinen Freund.","Ich|schreibe|eine|E-Mail|an|meinen|Freund|.","""an"" + accusative recipient","I write an email to my friend."
"Die Straße ist glatt wegen Eis.","Die|Straße|ist|glatt|wegen|Eis|.","""wegen"" = because of + genitive","The street is slippery due to ice."
"Wir treffen uns beim Café um zehn Uhr.","Wir|treffen|uns|beim|Café|um|zehn|Uhr|.","""beim"" = bei+dem (dative)","We meet at the café at ten o'clock."
"Das Baby lacht beim Spielen.","Das|Baby|lacht|beim|Spielen|.","""beim"" + gerund noun","The baby laughs while playing."
"Der Lehrer erklärt die Aufgabe langsam.","Der|Lehrer|erklärt|die|Aufgabe|langsam|.","Adverb after object","The teacher explains the task slowly."
"Ich nehme einen Löffel für die Suppe.","Ich|nehme|einen|Löffel|für|die|Suppe|.","Utensil + purpose","I take a spoon for the soup."
"Vater liest eine Geschichte vor dem Schlafen.","Vater|liest|eine|Geschichte|vor|dem|Schlafen|.","""vor"" + dative time","Father reads a story before sleeping."
"Die Blätter fallen von den Bäumen.","Die|Blätter|fallen|von|den|Bäumen|.","""von"" + dative origin","Leaves fall from the trees."
"Wir decken den Tisch für das Abendessen.","Wir|decken|den|Tisch|für|das|Abendessen|.","""den Tisch decken"" = set the table","We set the table for dinner."
"Sie trinkt Wasser mit Zitrone.","Sie|trinkt|Wasser|mit|Zitrone|.","Flavor addition with ""mit""","She drinks water with lemon."
"Der Arzt gibt dem Kind Medizin.","Der|Arzt|gibt|dem|Kind|Medizin|.","Dative recipient + accusative object","The doctor gives medicine to the child."
"Im Frühling blühen die Blumen.","Im|Frühling|blühen|die|Blumen|.","Season + verb-noun agreement","In spring flowers bloom."
"Er trocknet das Geschirr mit einem Tuch.","Er|trocknet|das|Geschirr|mit|einem|Tuch|.","""mit"" + instrumental dative","He dries the dishes with a towel."
"Wir wandern auf dem Berg.","Wir|wandern|auf|dem|Berg|.","""wandern"" = to hike + dative location","We hike on the mountain."
"Das Brot ist frisch vom Bäcker.","Das|Brot|ist|frisch|vom|Bäcker|.","""vom"" = von+dem","The bread is fresh from the baker."
"Sie bindet ihre Haare zu einem Zopf.","Sie|bindet|ihre|Haare|zu|einem|Zopf|.","""zu"" + dative result","She ties her hair into a braid."
"Ich brauche Salz für das Essen.","Ich|brauche|Salz|für|das|Essen|.","Condiment vocabulary","I need salt for the food."
"Der Wind weht stark heute.","Der|Wind|weht|stark|heute|.","Weather verb + adverb","The wind blows strongly today."
"Kinder springen Seil auf der Straße.","Kinder|springen|Seil|auf|der|Straße|.","""Seil springen"" = jump rope","Children jump rope on the street."
"Wir riechen die Blumen im Garten.","Wir|riechen|die|Blumen|im|Garten|.","""riechen"" = to smell","We smell the flowers in the garden."
"Das Eis schmilzt in der Sonne.","Das|Eis|schmilzt|in|der|Sonne|.","Scientific process + location","Ice melts in the sun."
"Er baut einen Sandburg am Strand.","Er|baut|einen|Sandburg|am|Strand|.","""am"" = an+dem (dative)","He builds a sandcastle at the beach."
"Sie schneidet Papier mit Schere.","Sie|schneidet|Papier|mit|Schere|.","Tool without article","She cuts paper with scissors."
"Wir zählen von eins bis zehn.","Wir|zählen|von|eins|bis|zehn|.","Numbers sequence","We count from one to ten."
"Der Mond scheint in der Nacht.","Der|Mond|scheint|in|der|Nacht|.","Celestial body + time phrase","The moon shines at night."
"Die Suppe ist zu heiß zum Trinken.","Die|Suppe|ist|zu|heiß|zum|Trinken|.","""zu... zum"" + infinitive construction","The soup is too hot to drink."
"Wir fahren mit der U-Bahn ins Zentrum.","Wir|fahren|mit|der|U-Bahn|ins|Zentrum|.","Transport + ""ins"" = in+das","We take the subway downtown."
"Er kauft eine Fahrkarte am Automat.","Er|kauft|eine|Fahrkarte|am|Automat|.","""am"" = an+dem (dative location)","He buys a ticket at the vending machine."
"Sie legt das Baby ins Bett.","Sie|legt|das|Baby|ins|Bett|.","Directional ""ins"" + accusative","She puts the baby to bed."
"Das Wetter wird besser am Nachmittag.","Das|Wetter|wird|besser|am|Nachmittag|.","""werden"" for weather change + time","The weather improves in the afternoon."
"Kannst du das Radio leiser stellen?","Kannst|du|das|Radio|leiser|stellen|?","Comparative adverb + verb","Can you turn the radio down?"
"Wir haben Besuch von unseren Nachbarn.","Wir|haben|Besuch|von|unseren|Nachbarn|.","""von"" + dative plural","We have visitors from our neighbors."
"Die Lampe hängt über dem Tisch.","Die|Lampe|hängt|über|dem|Tisch|.","""über"" + dative location","The lamp hangs above the table."
"Ich schließe die Tür ab, wenn ich gehe.","Ich|schließe|die|Tür|ab|,|wenn|ich|gehe|.","Separable verb ""abschließen""","I lock the door when I leave."
"Der Vogel baut ein Nest im Baum.","Der|Vogel|baut|ein|Nest|im|Baum|.","Animal behavior + location","The bird builds a nest in the tree."
"Sie trägt eine Brille zum Lesen.","Sie|trägt|eine|Brille|zum|Lesen|.","""zum"" = zu+dem + gerund noun","She wears glasses for reading."
"Wir sammeln Pilze im Wald.","Wir|sammeln|Pilze|im|Wald|.","""Pilze"" = mushrooms","We collect mushrooms in the forest."
"Das Kind bricht das Spielzeug.","Das|Kind|bricht|das|Spielzeug|.","""brechen"" = to break","The child breaks the toy."
"Der Kaffee ist in der Tasse.","Der|Kaffee|ist|in|der|Tasse|.","Liquid + container preposition","The coffee is in the cup."
"Ich schneide die Tomaten für den Salat.","Ich|schneide|die|Tomaten|für|den|Salat|.","Food preparation + purpose","I cut tomatoes for the salad."
"Vor dem Fernsehen essen wir Abendbrot.","Vor|dem|Fernsehen|essen|wir|Abendbrot|.","""Abendbrot"" = dinner","We eat dinner in front of the TV."
"Die Äpfel sind reif und saftig.","Die|Äpfel|sind|reif|und|saftig|.","Fruit qualities","The apples are ripe and juicy."
"Er mischt Farben für sein Bild.","Er|mischt|Farben|für|sein|Bild|.","""mischen"" = to mix","He mixes colors for his painting."
"Wir sitzen auf der Bank im Park.","Wir|sitzen|auf|der|Bank|im|Park|.","""Bank"" = bench","We sit on the bench in the park."
"Sie füllt die Flasche mit Wasser.","Sie|füllt|die|Flasche|mit|Wasser|.","""füllen"" + mit + liquid","She fills the bottle with water."
"Der Schlüssel passt nicht zum Schloss.","Der|Schlüssel|passt|nicht|zum|Schloss|.","""passen zu"" = to fit","The key doesn't fit the lock."
"Ich warte auf den Bus an der Haltestelle.","Ich|warte|auf|den|Bus|an|der|Haltestelle|.","""warten auf"" + accusative","I wait for the bus at the stop."
"Nach dem Sport dusche ich kalt.","Nach|dem|Sport|dusche|ich|kalt|.","Adverb after verb","After sports I shower cold."
"Die Bluse passt gut zu der Hose.","Die|Bluse|passt|gut|zu|der|Hose|.","""passen zu"" for clothing","The blouse matches the pants well."
"Wir backen einen Kuchen für Muttertag.","Wir|backen|einen|Kuchen|für|Muttertag|.","Holiday + accusative object","We bake a cake for Mother's Day."
"Das Baby krabbelt auf dem Boden.","Das|Baby|krabbelt|auf|dem|Boden|.","Developmental verb + location","The baby crawls on the floor."
"Er schreibt mit Kreide auf die Tafel.","Er|schreibt|mit|Kreide|auf|die|Tafel|.","Directional ""auf"" + accusative","He writes with chalk on the blackboard."
"Sie hängt das Bild an die Wand.","Sie|hängt|das|Bild|an|die|Wand|.","""anhängen"" directional accusative","She hangs the picture on the wall."
"Der Hund läuft hinter dem Ball her.","Der|Hund|läuft|hinter|dem|Ball|her|.","""her"" particle for direction","The dog runs after the ball."
"Wir kochen Nudeln mit Tomatensauce.","Wir|kochen|Nudeln|mit|Tomatensauce|.","Common dish preparation","We cook pasta with tomato sauce."
"Ich lege mich auf das Bett.","Ich|lege|mich|auf|das|Bett|.","Reflexive + directional accusative","I lie down on the bed."
"Die Kerze brennt auf dem Tisch.","Die|Kerze|brennt|auf|dem|Tisch|.","""brennen"" = to burn","The candle burns on the table."
"Er trocknet seine Haare mit dem Handtuch.","Er|trocknet|seine|Haare|mit|dem|Handtuch|.","Body care vocabulary","He dries his hair with the towel."
"Wir pflanzen Blumen im Garten.","Wir|pflanzen|Blumen|im|Garten|.","""pflanzen"" = to plant","We plant flowers in the garden."
"Das Papier ist dünn und weiß.","Das|Papier|ist|dünn|und|weiß|.","Material properties","The paper is thin and white."
"Sie wäscht das Auto mit Seife.","Sie|wäscht|das|Auto|mit|Seife|.","Cleaning + instrumental","She washes the car with soap."
"Der Löffel fällt unter den Tisch.","Der|Löffel|fällt|unter|den|Tisch|.","Directional ""unter"" + accusative","The spoon falls under the table."
"Ich ziehe einen Pullover an, weil es kalt ist.","Ich|ziehe|einen|Pullover|an|,|weil|es|kalt|ist|.","Separable verb + causal clause","I put on a sweater because it's cold."
"Wir schlafen in einem Zelt beim Camping.","Wir|schlafen|in|einem|Zelt|beim|Camping|.","""beim"" + activity noun","We sleep in a tent while camping."
"Die Mutter wiegt das Baby.","Die|Mutter|wiegt|das|Baby|.","""wiegen"" = to weigh","The mother weighs the baby."
"Er schläft auf dem Sofa ein.","Er|schläft|auf|dem|Sofa|ein|.","Separable verb ""einschlafen""","He falls asleep on the sofa."
"Sie stopft die Wäsche in die Maschine.","Sie|stopft|die|Wäsche|in|die|Maschine|.","""stopfen"" = to stuff + directional","She stuffs the laundry into the machine."
"Der Regen fällt auf das Dach.","Der|Regen|fällt|auf|das|Dach|.","Weather verb + location","Rain falls on the roof."
"Wir suchen Pilze, aber finden keine.","Wir|suchen|Pilze|,|aber|finden|keine|.","Contrast with ""aber"" + negative","We look for mushrooms but find none."
"Ich binde mir eine Schürze um.","Ich|binde|mir|eine|Schürze|um|.","Reflexive dative + ""umbinden""","I tie an apron around myself."
"Das Kind versteckt sich hinter dem Vorhang.","Das|Kind|versteckt|sich|hinter|dem|Vorhang|.","Reflexive + location","The child hides behind the curtain."
"Er rasiert sich vor dem Spiegel.","Er|rasiert|sich|vor|dem|Spiegel|.","Reflexive verb for grooming","He shaves in front of the mirror."
"Sie schält Kartoffeln für das Essen.","Sie|schält|Kartoffeln|für|das|Essen|.","""schälen"" = to peel","She peels potatoes for the meal."
"Wir atmen frische Luft im Wald.","Wir|atmen|frische|Luft|im|Wald|.","""atmen"" = to breathe","We breathe fresh air in the forest."
"Die Katze jagt eine Maus im Garten.","Die|Katze|jagt|eine|Maus|im|Garten|.","Animal behavior + accusative","The cat chases a mouse in the garden."
"Ich schneide mir in den Finger.","Ich|schneide|mir|in|den|Finger|.","Reflexive dative + body part","I cut my finger."
"Die Sonnenblumen drehen sich zur Sonne.","Die|Sonnenblumen|drehen|sich|zur|Sonne|.","Reflexive + ""zu"" contraction","Sunflowers turn toward the sun."
"Wir schmelzen Butter für die Pfannkuchen.","Wir|schmelzen|Butter|für|die|Pfannkuchen|.","Cooking process + purpose","We melt butter for the pancakes."
"Der Schneemann schmilzt in der Wärme.","Der|Schneemann|schmilzt|in|der|Wärme|.","Seasonal vocabulary + location","The snowman melts in the warmth."
"Sie mischt Teig für Brot.","Sie|mischt|Teig|für|Brot|.","""Teig"" = dough","She mixes dough for bread."
"Ich gieße die Pflanzen jeden Morgen.","Ich|gieße|die|Pflanzen|jeden|Morgen|.","""gießen"" = to water + frequency","I water the plants every morning."
"Das Baby weint, weil es hungrig ist.","Das|Baby|weint|,|weil|es|hungrig|ist|.","Causal clause with ""weil""","The baby cries because it's hungry."
"Wir rollen den Teig mit einem Nudelholz.","Wir|rollen|den|Teig|mit|einem|Nudelholz|.","""Nudelholz"" = rolling pin","We roll the dough with a rolling pin."
"Er wischt den Staub von den Möbeln.","Er|wischt|den|Staub|von|den|Möbeln|.","""wischen"" + removal preposition","He wipes dust from the furniture."
"Die Fahne weht auf dem Dach.","Die|Fahne|weht|auf|dem|Dach|.","""wehen"" = to flutter","The flag flutters on the roof."
"Kann ich bitte die Rechnung haben?","Kann|ich|bitte|die|Rechnung|haben|?","Polite request for bill","Can I have the bill please?"
"Wir schneiden die Pizza in Stücke.","Wir|schneiden|die|Pizza|in|Stücke|.","Division with ""in"" + accusative","We cut the pizza into pieces."
"Das Hemd hängt im Schrank.","Das|Hemd|hängt|im|Schrank|.","Clothing storage location","The shirt hangs in the closet."
"Ich kratze mich am Arm.","Ich|kratze|mich|am|Arm|.","Reflexive + body part dative","I scratch my arm."
"Sie rührt den Kaffee mit einem Löffel.","Sie|rührt|den|Kaffee|mit|einem|Löffel|.","""rühren"" = to stir","She stirs the coffee with a spoon."
"Der Schmetterling landet auf der Blume.","Der|Schmetterling|landet|auf|der|Blume|.","Animal behavior + location","The butterfly lands on the flower."
"Wir spannen das Seil zwischen zwei Bäumen.","Wir|spannen|das|Seil|zwischen|zwei|Bäumen|.","""spannen"" = to stretch","We stretch the rope between two trees."
"Das Wasser kocht im Topf.","Das|Wasser|kocht|im|Topf|.","Cooking state + container","The water boils in the pot."
"Er zieht die Vorhänge zu.","Er|zieht|die|Vorhänge|zu|.","Separable verb ""zuziehen""","He draws the curtains closed."
"Die Mutter wiegt das Mehl für den Kuchen.","Die|Mutter|wiegt|das|Mehl|für|den|Kuchen|.","""wiegen"" = to weigh (substance)","The mother weighs flour for the cake."
"Wir werfen den Ball hin und her.","Wir|werfen|den|Ball|hin|und|her|.","Directional particles for tossing","We toss the ball back and forth."
"Die Zahnpasta schäumt im Mund.","Die|Zahnpasta|schäumt|im|Mund|.","""schäumen"" = to foam","The toothpaste foams in the mouth."
"Ich spüle das Geschirr nach dem Essen.","Ich|spüle|das|Geschirr|nach|dem|Essen|.","""spülen"" = to rinse","I rinse the dishes after eating."
"Sie klebt das Bild in ihr Album.","Sie|klebt|das|Bild|in|ihr|Album|.","""kleben"" + directional accusative","She pastes the picture into her album."
"Der Korken schwimmt im Wasser.","Der|Korken|schwimmt|im|Wasser|.","Floating object + location","The cork floats in water."
"Wir stempeln den Brief vor dem Absenden.","Wir|stempeln|den|Brief|vor|dem|Absenden|.","Postal vocabulary","We stamp the letter before sending."
"Das Kind schaukelt auf der Schaukel.","Das|Kind|schaukelt|auf|der|Schaukel|.","""schaukeln"" = to swing","The child swings on the swing."
"Er knetet den Teig mit seinen Händen.","Er|knetet|den|Teig|mit|seinen|Händen|.","""kneten"" = to knead","He kneads the dough with his hands."
"Sie hält das Baby auf dem Arm.","Sie|hält|das|Baby|auf|dem|Arm|.","Body part location (dative)","She holds the baby on her arm."
"Wir fangen den Ball mit den Händen.","Wir|fangen|den|Ball|mit|den|Händen|.","""fangen"" = to catch","We catch the ball with our hands."
"Die Uhr tickt laut auf dem Nachttisch.","Die|Uhr|tickt|laut|auf|dem|Nachttisch|.","Sound description + adverb","The clock ticks loudly on the nightstand."
"Ich schließe die Augen beim Niesen.","Ich|schließe|die|Augen|beim|Niesen|.","Body reflex + ""beim""","I close my eyes when sneezing."
"Das Popcorn poppt in der Mikrowelle.","Das|Popcorn|poppt|in|der|Mikrowelle|.","Onomatopoeic verb","Popcorn pops in the microwave."
"Er schraubt die Glühbirne in die Fassung.","Er|schraubt|die|Glühbirne|in|die|Fassung|.","""schrauben"" = to screw","He screws the lightbulb into the socket."
"Wir klatschen nach der Vorstellung.","Wir|klatschen|nach|der|Vorstellung|.","""klatschen"" = to applaud","We applaud after the performance."
"Die Seifenblasen platzen in der Luft.","Die|Seifenblasen|platzen|in|der|Luft|.","""platzen"" = to burst","Soap bubbles burst in the air."
"Sie schüttet Milch in die Tasse.","Sie|schüttet|Milch|in|die|Tasse|.","""schütten"" = to pour","She pours milk into the cup."
"Der Staubsauger saugt den Staub auf.","Der|Staubsauger|saugt|den|Staub|auf|.","Separable verb ""aufsaugen""","The vacuum cleaner sucks up dust."
"Ich räume mein Zimmer am Wochenende auf.","Ich|räume|mein|Zimmer|am|Wochenende|auf|.","Separable verb ""aufräumen""","I tidy my room on weekends."
"Wir kühlen die Getränke im Kühlschrank.","Wir|kühlen|die|Getränke|im|Kühlschrank|.","""kühlen"" = to cool","We chill drinks in the refrigerator."
"Das Feuer brennt im Kamin.","Das|Feuer|brennt|im|Kamin|.","Controlled fire location","The fire burns in the fireplace."
"Er schließt das Fenster wegen des Regens.","Er|schließt|das|Fenster|wegen|des|Regens|.","""wegen"" + genitive reason","He closes the window because of rain."
"Sie häkelt eine Decke für das Baby.","Sie|häkelt|eine|Decke|für|das|Baby|.","""häkeln"" = to crochet","She crochets a blanket for the baby."
"Wir falten Papier zu einem Flugzeug.","Wir|falten|Papier|zu|einem|Flugzeug|.","""zu"" + dative result","We fold paper into an airplane."
"Das Seil reißt unter der Last.","Das|Seil|reißt|unter|der|Last|.","""reißen"" = to tear/snap","The rope snaps under the weight."
"Ich klebe die Briefmarke auf den Umschlag.","Ich|klebe|die|Briefmarke|auf|den|Umschlag|.","Postal action + directional","I stick the stamp on the envelope."
"Sie dreht das Radio lauter.","Sie|dreht|das|Radio|lauter|.","Comparative adverb + ""drehen""","She turns the radio louder."
"Wir schrubben den Boden mit einer Bürste.","Wir|schrubben|den|Boden|mit|einer|Bürste|.","""schrubben"" = to scrub","We scrub the floor with a brush."
"Der Akku lädt am Ladekabel.","Der|Akku|lädt|am|Ladekabel|.","""laden"" = to charge","The battery charges on the charger."
"Das Kind schlürft die Suppe.","Das|Kind|schlürft|die|Suppe|.","Onomatopoeic eating verb","The child slurps the soup."
"Er schmirgelt das Holz mit Sandpapier.","Er|schmirgelt|das|Holz|mit|Sandpapier|.","""schmirgeln"" = to sand","He sands the wood with sandpaper."
"Wir pressen Orangen für Saft.","Wir|pressen|Orangen|für|Saft|.","""pressen"" = to squeeze","We squeeze oranges for juice."
"Die Nadel fädelt durch das Loch.","Die|Nadel|fädelt|durch|das|Loch|.","""fädeln"" = to thread","The needle threads through the hole."
